feature,coefficient,abs_coefficient
num__prev_game_hits,0.9171336713917683,0.9171336713917683
num__last15_hitter_avg,0.7882347181769833,0.7882347181769833
num__batter_whiff_pct,-0.5269131915812618,0.5269131915812618
num__elite_defense_flag,-0.48715044763411075,0.48715044763411075
num__batter_avg,-0.4680751041899594,0.4680751041899594
num__batter_vs_hand_avg,-0.43203859815120005,0.43203859815120005
num__bullpen_fatigue_score,0.377963345260416,0.377963345260416
num__prev_game_zero_hit_flag,0.3634685718643061,0.3634685718643061
num__opp_team_defense_drs,0.3426122363957542,0.3426122363957542
num__batter_slg,0.34198060187105156,0.34198060187105156
num__pitcher_ba_allowed,0.25862115766248894,0.25862115766248894
num__batter_vs_hand_slg,0.2543732923956123,0.2543732923956123
num__pitcher_score,-0.25173849474025095,0.25173849474025095
num__context_adjustment,0.24626670104804776,0.24626670104804776
cat__opp_pitcher_hand_L,-0.23427737328608264,0.23427737328608264
num__order_score,0.23367125653388024,0.23367125653388024
num__order,-0.23367125653388024,0.23367125653388024
cat__opp_pitcher_hand_R,0.23336531622914483,0.23336531622914483
num__pitcher_vs_hand_baa,0.2217626168890623,0.2217626168890623
num__game_rank,0.19646236546155857,0.19646236546155857
num__last15_pitcher_era,0.18833947280325553,0.18833947280325553
num__weak_defense_flag,-0.18014353616541073,0.18014353616541073
num__pitcher_whip,-0.17032834380113257,0.17032834380113257
num__batter_split_score,0.16569162470388366,0.16569162470388366
num__batter_avg_score,0.09180949339504285,0.09180949339504285
num__batter_vs_hand_obp,0.06756985970415037,0.06756985970415037
num__batter_obp,-0.06088287772342516,0.06088287772342516
num__pitcher_era,0.04647637745778724,0.04647637745778724
num__form_score,-0.029033656113927497,0.029033656113927497
num__hit_score,-0.01465743362149768,0.01465743362149768
num__whiff_penalty,-0.0013249803679312075,0.0013249803679312075
cat__batter_hand_R,-0.0009120570569384176,0.0009120570569384176
num__bullpen_risk_flag,0.0,0.0
num__high_whiff_flag,0.0,0.0
num__pitcher_whiff_pct,0.0,0.0
num__bullpen_adjustment,0.0,0.0
num__env_score,0.0,0.0
