feature,coefficient,abs_coefficient
num__prev_game_hits,1.3098130396263883,1.3098130396263883
num__elite_defense_flag,-0.8986072852590015,0.8986072852590015
num__form_score,-0.8730668331667878,0.8730668331667878
num__pitcher_ba_allowed,0.859864930224153,0.859864930224153
num__pitcher_vs_hand_baa,-0.728035646626515,0.728035646626515
num__batter_avg,0.6974666813620508,0.6974666813620508
num__prev_game_zero_hit_flag,0.5681083004601636,0.5681083004601636
num__last15_pitcher_era,0.542623620041435,0.542623620041435
num__context_adjustment,0.5415993746225912,0.5415993746225912
num__batter_split_score,0.43811583822531686,0.43811583822531686
num__order_score,0.3926075348493791,0.3926075348493791
num__order,-0.39260753484937905,0.39260753484937905
num__batter_avg_score,0.39053816529262736,0.39053816529262736
num__batter_vs_hand_slg,-0.38923067981279386,0.38923067981279386
num__batter_vs_hand_obp,-0.33911767408351895,0.33911767408351895
num__opp_team_defense_drs,0.33598254183424464,0.33598254183424464
num__whiff_penalty,-0.2988207706137474,0.2988207706137474
num__hit_score,0.2911030669535442,0.2911030669535442
num__game_rank,0.2724085715309465,0.2724085715309465
num__pitcher_era,-0.2632019597560814,0.2632019597560814
num__last15_hitter_avg,0.24366121421963616,0.24366121421963616
num__weak_defense_flag,-0.2008606570503075,0.2008606570503075
num__batter_obp,-0.17387590558167004,0.17387590558167004
num__batter_slg,0.15906332567923523,0.15906332567923523
num__batter_vs_hand_avg,0.11253097567160894,0.11253097567160894
num__bullpen_fatigue_score,0.10991489703604022,0.10991489703604022
num__pitcher_whip,0.0950836192912504,0.0950836192912504
num__batter_whiff_pct,-0.07142212965584302,0.07142212965584302
num__pitcher_score,-0.044360118856908444,0.044360118856908444
cat__opp_pitcher_hand_R,-0.038449322231960584,0.038449322231960584
cat__opp_pitcher_hand_L,0.035070368260387806,0.035070368260387806
cat__batter_hand_R,-0.003378953971573245,0.003378953971573245
num__bullpen_risk_flag,0.0,0.0
num__high_whiff_flag,0.0,0.0
num__pitcher_whiff_pct,0.0,0.0
num__bullpen_adjustment,0.0,0.0
num__env_score,0.0,0.0
