date,game_pk,matchup,batting_team,opp_team,batter,batter_id,order,batter_hand,opp_pitcher,opp_pitcher_hand,batter_avg,batter_obp,batter_slg,batter_vs_hand_avg,batter_vs_hand_obp,batter_vs_hand_slg,pitcher_era,pitcher_whip,pitcher_ba_allowed,pitcher_xba_allowed,pitcher_woba_allowed,pitcher_vs_hand_baa,pitcher_vs_hand_xba,pitcher_vs_hand_woba,last15_hitter_avg,last15_pitcher_era,temp_c,wind_kph,precip,batter_whiff_pct,opp_team_defense_drs,bullpen_risk_flag,bullpen_fatigue_score,bullpen_adjustment,pitcher_whiff_pct,high_whiff_flag,elite_defense_flag,weak_defense_flag,context_adjustment,whiff_penalty,order_score,batter_avg_score,batter_split_score,pitcher_score,form_score,env_score,hit_score,game_rank,batter_api_name,team_name_api,had_hit,hit_count,single_count,double_count,triple_count,home_run_count,xbh_count,at_bats,plate_appearances,runs_scored,rbi,walks,strikeouts,result_label,graded_at
2026-07-25,822704,Arizona Diamondbacks @ Washington Nationals,Washington Nationals,Arizona Diamondbacks,James Wood,695578,1,R,Mitch Bratt,L,0.27,0.395,0.548,0.262,0.352,0.497,5.06,1.78,0.295,,,0.29,,,0.2720666666666666,4.6866666666666665,,,,31.2,-4,0,0,0.0,0.0,0,0,0,0.0,0.03,1.0,0.3347368421052632,0.3473709310783778,0.7178083917310436,0.3333522471159845,0.6499999999999999,0.5871880873563052,1,James Wood,Washington Nationals,1,1,1,0,0,0,0,5,5,0,0,0,2,single_only,2026-07-26T16:01:28Z
2026-07-25,822704,Arizona Diamondbacks @ Washington Nationals,Washington Nationals,Arizona Diamondbacks,Curtis Mead,678554,2,R,Mitch Bratt,L,0.256,0.351,0.505,0.279,0.362,0.533,5.06,1.78,0.295,,,0.29,,,0.2456666666666666,4.6866666666666665,,,,25.0,-4,0,0,0.0,0.0,0,0,0,0.0,0.01,0.75,0.3052631578947369,0.376797082514281,0.7178083917310436,0.2804211797109817,0.6499999999999999,0.5566049651045306,2,Curtis Mead,Washington Nationals,0,0,0,0,0,0,0,3,5,1,0,2,0,no_hit,2026-07-26T16:01:28Z
2026-07-25,822704,Arizona Diamondbacks @ Washington Nationals,Arizona Diamondbacks,Washington Nationals,Corbin Carroll,682998,1,R,Foster Griffin,L,0.252,0.344,0.491,0.353,0.424,0.603,2.68,1.03,0.215,,,0.238,,,0.2558,3.1206666666666663,,,,29.2,-6,0,0,0.0,0.0,0,0,1,0.02,0.01,1.0,0.2968421052631579,0.4988405716623801,0.2771006489217553,0.2447251195487915,0.6499999999999999,0.5195491055244403,3,Corbin Carroll,Arizona Diamondbacks,0,0,0,0,0,0,0,3,4,1,0,0,2,no_hit,2026-07-26T16:01:28Z
2026-07-25,824811,Atlanta Braves @ Baltimore Orioles,Atlanta Braves,Baltimore Orioles,Drake Baldwin,686948,1,R,Brandon Young,R,0.273,0.364,0.486,0.29,0.385,0.525,3.25,1.31,0.251,,,0.268,,,0.2631333333333333,3.488,,,,23.7,3,0,0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.3410526315789474,0.3980038470198044,0.4434885203225646,0.2725670540139537,0.6499999999999999,0.4884325759538135,1,Drake Baldwin,Atlanta Braves,1,1,1,0,0,0,0,4,4,0,0,0,1,single_only,2026-07-26T16:01:28Z
2026-07-25,824811,Atlanta Braves @ Baltimore Orioles,Baltimore Orioles,Atlanta Braves,Dylan Beavers,687637,1,R,Bryce Elder,R,0.248,0.331,0.362,0.256,0.35,0.392,4.06,1.23,0.243,,,0.306,,,0.2337333333333333,2.6653333333333333,,,,25.0,12,0,0,0.0,0.0,0,1,0,-0.03,0.01,1.0,0.2884210526315789,0.3225541541463527,0.5000052950755797,0.1841957686845343,0.6499999999999999,0.4332694923619422,2,Dylan Beavers,Baltimore Orioles,1,2,2,0,0,0,0,4,5,0,1,1,1,multi_hit,2026-07-26T16:01:28Z
2026-07-25,824811,Atlanta Braves @ Baltimore Orioles,Atlanta Braves,Baltimore Orioles,Ozzie Albies,645277,2,R,Brandon Young,R,0.264,0.315,0.435,0.242,0.318,0.396,3.25,1.31,0.251,,,0.268,,,0.2674,3.488,,,,20.8,3,0,0,0.0,0.0,0,0,0,0.0,0.0,0.75,0.3221052631578948,0.2933494711881236,0.4434885203225646,0.2811215699581967,0.6499999999999999,0.4135521593875298,3,Ozzie Albies,Atlanta Braves,1,1,0,0,0,1,1,4,4,1,1,0,1,home_run,2026-07-26T16:01:28Z
2026-07-25,822948,Cleveland Guardians @ Tampa Bay Rays,Tampa Bay Rays,Cleveland Guardians,Yandy Díaz,650490,1,R,Tanner Bibee,R,0.304,0.38,0.462,0.308,0.385,0.46,3.86,1.15,0.231,,,0.251,,,0.3156,4.082666666666666,,,,14.2,7,0,0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.4063157894736842,0.407615549147464,0.4010672852025393,0.3990310365687326,0.6499999999999999,0.4970787283329377,1,Yandy Díaz,Tampa Bay Rays,1,2,1,1,0,0,1,4,4,1,0,0,2,multi_hit_xbh,2026-07-26T16:01:28Z
2026-07-25,822948,Cleveland Guardians @ Tampa Bay Rays,Tampa Bay Rays,Cleveland Guardians,Jonathan Aranda,666018,2,R,Tanner Bibee,R,0.283,0.378,0.44,0.294,0.387,0.498,3.86,1.15,0.231,,,0.251,,,0.2887333333333333,4.082666666666666,,,,22.0,7,0,0,0.0,0.0,0,0,0,0.0,0.0,0.75,0.3621052631578947,0.3989666959649228,0.4010672852025393,0.3451643189823281,0.6499999999999999,0.4368365073993417,2,Jonathan Aranda,Tampa Bay Rays,1,1,1,0,0,0,0,4,4,1,0,0,2,single_only,2026-07-26T16:01:28Z
2026-07-25,822948,Cleveland Guardians @ Tampa Bay Rays,Cleveland Guardians,Tampa Bay Rays,Steven Kwan,680757,1,R,Nick Martinez,R,0.248,0.354,0.307,0.273,0.372,0.338,2.59,1.12,0.248,,,0.26,,,0.2295333333333333,2.1606666666666663,,,,8.6,6,0,0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.2884210526315789,0.3425413599730975,0.3585819601911636,0.1577238877219782,0.6499999999999999,0.4318685112089202,3,Steven Kwan,Cleveland Guardians,1,1,1,0,0,0,0,4,4,0,0,0,1,single_only,2026-07-26T16:01:28Z
2026-07-25,824244,Kansas City Royals @ Detroit Tigers,Detroit Tigers,Kansas City Royals,Colt Keith,690993,1,R,Michael Wacha,R,0.254,0.297,0.395,0.263,0.307,0.414,3.6,1.17,0.238,,,0.24,,,0.2509999999999999,3.2706666666666675,,,,21.2,-3,0,0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.3010526315789474,0.3150703731847348,0.3893890015618807,0.24046652239981,0.6499999999999999,0.4466542721247194,1,Colt Keith,Detroit Tigers,1,2,1,1,0,0,1,4,4,0,0,0,1,multi_hit_xbh,2026-07-26T16:01:28Z
2026-07-25,824244,Kansas City Royals @ Detroit Tigers,Detroit Tigers,Kansas City Royals,Kevin McGonigle,805808,2,R,Michael Wacha,R,0.278,0.385,0.417,0.287,0.406,0.449,3.6,1.17,0.238,,,0.24,,,0.2830666666666667,3.2706666666666675,,,,25.0,-3,0,0,0.0,0.0,0,0,0,0.0,0.01,0.75,0.3515789473684211,0.3914494810744811,0.3893890015618807,0.3047590562932606,0.6499999999999999,0.4153929291811736,2,Kevin McGonigle,Detroit Tigers,0,0,0,0,0,0,0,4,4,0,0,0,1,no_hit,2026-07-26T16:01:28Z
