date,game_pk,matchup,batting_team,batter,batter_id,order,batter_hand,opp_pitcher,opp_pitcher_hand,batter_avg,batter_obp,batter_slg,batter_vs_hand_avg,batter_vs_hand_obp,batter_vs_hand_slg,pitcher_era,pitcher_whip,pitcher_ba_allowed,pitcher_xba_allowed,pitcher_woba_allowed,pitcher_vs_hand_baa,pitcher_vs_hand_xba,pitcher_vs_hand_woba,last15_hitter_avg,last15_pitcher_era,temp_c,wind_kph,precip,order_score,batter_avg_score,batter_split_score,pitcher_score,form_score,env_score,hit_score,game_rank
2026-07-20,824736,Baltimore Orioles @ Boston Red Sox,Boston Red Sox,Anthony Seigler,678011,1,R,Shane Baz,R,0.256,0.33,0.407,.271,.348,.407,4.19,1.39,0.265,,,.247,,,0.29819999999999997,4.5360000000000005,,,,1.0,0.6085526315789473,0.3005390047130098,0.5562526913489686,0.6963108089298289,0.5,0.5464571799224174,1
2026-07-20,824736,Baltimore Orioles @ Boston Red Sox,Baltimore Orioles,Taylor Ward,621493,1,R,Payton Tolle,L,0.251,0.389,0.361,.304,.445,.489,3.11,1.07,0.208,,,.201,,,0.2528666666666667,2.6286666666666667,,,,1.0,0.5921052631578947,0.3664720530669282,0.37528869599472936,0.4879007703371724,0.5,0.5273897376157268,2
2026-07-20,824736,Baltimore Orioles @ Boston Red Sox,Boston Red Sox,Ceddanne Rafaela,678882,2,R,Shane Baz,R,0.281,0.326,0.435,.279,.321,.403,4.19,1.39,0.265,,,.247,,,0.282,4.5360000000000005,,,,0.75,0.6907894736842106,0.2952628904724294,0.5562526913489686,0.6665000833777786,0.5,0.4906665425294648,3
2026-07-20,824736,Baltimore Orioles @ Boston Red Sox,Baltimore Orioles,Pete Alonso,624413,2,R,Payton Tolle,L,0.246,0.346,0.462,.229,.298,.376,3.11,1.07,0.208,,,.201,,,0.2496666666666667,2.6286666666666667,,,,0.75,0.575657894736842,0.25850565604575876,0.37528869599472936,0.4820122319565205,0.5,0.4495148576033366,4
2026-07-20,824736,Baltimore Orioles @ Boston Red Sox,Boston Red Sox,Wilyer Abreu,677800,3,R,Shane Baz,R,0.264,0.337,0.458,.225,.293,.403,4.19,1.39,0.265,,,.247,,,0.26380000000000003,4.5360000000000005,,,,0.5,0.6348684210526316,0.2629353675366495,0.5562526913489686,0.6330090213378206,0.5,0.427561002489526,5
2026-07-20,824736,Baltimore Orioles @ Boston Red Sox,Boston Red Sox,Willson Contreras,575929,4,R,Shane Baz,R,0.283,0.38,0.551,.282,.369,.534,4.19,1.39,0.265,,,.247,,,0.2828,4.5360000000000005,,,,0.25,0.6973684210526315,0.34755505845694495,0.5562526913489686,0.6679722179729415,0.5,0.40396040471486805,6
2026-07-20,824736,Baltimore Orioles @ Boston Red Sox,Baltimore Orioles,Gunnar Henderson,683002,3,R,Payton Tolle,L,0.22,0.289,0.393,.197,.263,.393,3.11,1.07,0.208,,,.201,,,0.22253333333333333,2.6286666666666667,,,,0.5,0.49013157894736853,0.23889622872418914,0.37528869599472936,0.4320823336039091,0.5,0.38712301602005245,7
2026-07-20,824736,Baltimore Orioles @ Boston Red Sox,Boston Red Sox,Masataka Yoshida,807799,5,R,Shane Baz,R,0.267,0.343,0.401,.265,.339,.398,4.19,1.39,0.265,,,.247,,,0.2561333333333334,4.5360000000000005,,,,0.0,0.6447368421052632,0.2927043302405111,0.5562526913489686,0.618901064800842,0.5,0.33288704968494465,8
2026-07-20,824736,Baltimore Orioles @ Boston Red Sox,Baltimore Orioles,Tyler O'Neill,641933,4,R,Payton Tolle,L,0.199,0.294,0.353,.173,.253,.373,3.11,1.07,0.208,,,.201,,,0.18859999999999996,2.6286666666666667,,,,0.25,0.4210526315789474,0.21955281348458944,0.37528869599472936,0.3696392911924124,0.5,0.322920705848428,9
2026-07-20,824736,Baltimore Orioles @ Boston Red Sox,Baltimore Orioles,Coby Mayo,691723,5,R,Payton Tolle,L,0.198,0.267,0.405,.289,.365,.750,3.11,1.07,0.208,,,.201,,,0.19173333333333334,2.6286666666666667,,,,0.0,0.41776315789473684,0.41086385130150244,0.37528869599472936,0.37540515169013416,0.5,0.32161334437731454,10
2026-07-20,824736,Baltimore Orioles @ Boston Red Sox,Baltimore Orioles,Christian Encarnacion-Strand,687952,8,R,Payton Tolle,L,0.2,0.2,0.2,1.000,1.000,1.000,3.11,1.07,0.208,,,.201,,,0.2,2.6286666666666667,,,,-0.75,0.4243421052631579,0.9838221381267739,0.37528869599472936,0.3906172091734851,0.5,0.317134724706135,11
2026-07-20,824736,Baltimore Orioles @ Boston Red Sox,Boston Red Sox,Caleb Durbin,702332,6,R,Shane Baz,R,0.236,0.299,0.392,.244,.306,.403,4.19,1.39,0.265,,,.247,,,0.22926666666666667,4.5360000000000005,,,,-0.25,0.5427631578947368,0.27521243175683296,0.5562526913489686,0.5694618779799516,0.5,0.27109819704089155,12
2026-07-20,824736,Baltimore Orioles @ Boston Red Sox,Baltimore Orioles,Leody Taveras,665750,6,R,Payton Tolle,L,0.239,0.317,0.363,.188,.278,.238,3.11,1.07,0.208,,,.201,,,0.24166666666666667,2.6286666666666667,,,,-0.25,0.5526315789473684,0.1951542560301355,0.37528869599472936,0.46729088600489055,0.5,0.23146880570668626,13
2026-07-20,824736,Baltimore Orioles @ Boston Red Sox,Baltimore Orioles,Jeremiah Jackson,669236,7,R,Payton Tolle,L,0.252,0.271,0.403,.250,.286,.350,3.11,1.07,0.208,,,.201,,,0.2535333333333333,2.6286666666666667,,,,-0.5,0.5953947368421053,0.25713591348198556,0.37528869599472936,0.48912754916647466,0.5,0.20023971954388636,14
2026-07-20,824736,Baltimore Orioles @ Boston Red Sox,Boston Red Sox,Jarren Duran,680776,7,R,Shane Baz,R,0.19,0.254,0.34,.186,.240,.360,4.19,1.39,0.265,,,.247,,,0.19513333333333333,4.5360000000000005,,,,-0.5,0.39144736842105265,0.21798606146875787,0.5562526913489686,0.5066508019196643,0.5,0.1973699430598297,15
2026-07-20,824736,Baltimore Orioles @ Boston Red Sox,Boston Red Sox,Connor Wong,657136,8,R,Shane Baz,R,0.276,0.375,0.371,.280,.389,.387,4.19,1.39,0.265,,,.247,,,0.2787333333333333,4.5360000000000005,,,,-0.75,0.674342105263158,0.31066714910643767,0.5562526913489686,0.6604888671141962,0.5,0.19361592474842942,16
2026-07-20,824736,Baltimore Orioles @ Boston Red Sox,Boston Red Sox,Tsung-Che Cheng,691907,9,R,Shane Baz,R,0.303,0.368,0.333,.321,.394,.357,4.19,1.39,0.265,,,.247,,,0.24066666666666667,4.5360000000000005,,,,-1.0,0.763157894736842,0.32203597120116656,0.5562526913489686,0.5904397959610242,0.5,0.13595076959913582,17
2026-07-20,824736,Baltimore Orioles @ Boston Red Sox,Baltimore Orioles,Sam Huff,669087,9,R,Payton Tolle,L,0.154,0.185,0.231,.286,.286,.429,3.11,1.07,0.208,,,.201,,,0.2036,2.6286666666666667,,,,-1.0,0.27302631578947373,0.29575786239400065,0.37528869599472936,0.39724181485171844,0.5,0.09611234662467674,18
2026-07-20,822874,Chicago White Sox @ Texas Rangers,Texas Rangers,Joc Pederson,592626,1,R,Erick Fedde,R,0.243,0.339,0.479,.250,.345,.475,4.15,1.42,0.262,,,.268,,,0.23939999999999997,4.348,,,,1.0,0.5657894736842105,0.30952881836251117,0.5733384952897148,0.5757891258839077,0.5,0.5357521220601283,1
2026-07-20,822874,Chicago White Sox @ Texas Rangers,Texas Rangers,Wyatt Langford,694671,2,R,Erick Fedde,R,0.283,0.328,0.508,.292,.340,.511,4.15,1.42,0.262,,,.268,,,0.27126666666666666,4.348,,,,0.75,0.6973684210526315,0.3372129290965429,0.5733384952897148,0.6344291539245668,0.5,0.5014691539497351,2
