date,game_pk,matchup,batting_team,opp_team,batter,batter_id,order,batter_hand,opp_pitcher,opp_pitcher_hand,batter_avg,batter_obp,batter_slg,batter_vs_hand_avg,batter_vs_hand_obp,batter_vs_hand_slg,pitcher_era,pitcher_whip,pitcher_ba_allowed,pitcher_xba_allowed,pitcher_woba_allowed,pitcher_vs_hand_baa,pitcher_vs_hand_xba,pitcher_vs_hand_woba,last15_hitter_avg,last15_pitcher_era,prev_game_hits,prev_game_zero_hit_flag,temp_c,wind_kph,precip,batter_whiff_pct,opp_team_defense_drs,bullpen_risk_flag,bullpen_fatigue_score,bullpen_adjustment,pitcher_whiff_pct,high_whiff_flag,elite_defense_flag,weak_defense_flag,context_adjustment,whiff_penalty,order_score,batter_avg_score,batter_split_score,pitcher_score,form_score,env_score,hit_score,game_rank
2026-07-26,822706,Arizona Diamondbacks @ Washington Nationals,Washington Nationals,Arizona Diamondbacks,James Wood,695578,1,R,Kohl Drake,L,0.271,0.396,0.557,.264,.351,.493,5.0,1.44,0.257,,,.143,,,0.27240000000000003,3.4,2,0,,,,31.2,-4,0,0,0.0,0.0,0,0,0,0.0,0.03,1.0,0.4062968515742129,0.6175178571428571,0.6120340689273294,0.5903652319531415,0.6499999999999999,0.6615444697568842,1
2026-07-26,822706,Arizona Diamondbacks @ Washington Nationals,Arizona Diamondbacks,Washington Nationals,Corbin Carroll,682998,1,R,Miles Mikolas,R,0.25,0.344,0.487,.205,.308,.438,5.65,1.33,0.283,,,.279,,,0.2537333333333333,5.992666666666667,1,0,,,,29.2,-6,0,0,0.0,0.0,0,0,1,0.02,0.01,1.0,0.3748125937031484,0.5179253246753247,0.6681316867424809,0.6840279665334634,0.6499999999999999,0.6575250321715949,2
2026-07-26,822706,Arizona Diamondbacks @ Washington Nationals,Arizona Diamondbacks,Washington Nationals,Geraldo Perdomo,672695,2,R,Miles Mikolas,R,0.233,0.358,0.357,.235,.367,.363,5.65,1.33,0.283,,,.279,,,0.23926666666666666,5.992666666666667,1,0,,,,12.2,-6,0,0,0.0,0.0,0,0,1,0.02,0.0,0.75,0.3493253373313343,0.5485211038961039,0.6681316867424809,0.6567113319798347,0.6499999999999999,0.6210764817937454,3
2026-07-26,823678,Athletics @ Minnesota Twins,Minnesota Twins,Athletics,Austin Martin,668885,1,R,Jeffrey Springs,L,0.243,0.358,0.324,.250,.408,.360,6.23,1.45,0.271,,,.277,,,0.24453333333333338,4.899333333333334,1,0,,,,25.0,-9,0,0,0.0,0.0,0,0,1,0.02,0.01,1.0,0.36431784107946025,0.5825064935064935,0.7008888932693522,0.6122944600760658,0.6499999999999999,0.7227374603688389,1
2026-07-26,823678,Athletics @ Minnesota Twins,Athletics,Minnesota Twins,Jacob Wilson,805779,1,R,Connor Prielipp,L,0.279,0.312,0.405,.253,.286,.392,4.73,1.3,0.249,,,.243,,,0.28226666666666667,4.517857142857143,0,1,,,,14.3,-1,0,0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.41829085457271364,0.5364285714285714,0.605151821555299,0.6645769180718082,0.6499999999999999,0.6803392270345037,2
2026-07-26,823678,Athletics @ Minnesota Twins,Minnesota Twins,Athletics,Ryan Jeffers,680777,3,R,Jeffrey Springs,L,0.288,0.391,0.532,.298,.429,.491,6.23,1.45,0.271,,,.277,,,0.2900666666666666,4.899333333333334,2,0,,,,25.0,-9,0,0,0.0,0.0,0,0,1,0.02,0.01,0.5,0.43178410794602695,0.6888847402597402,0.7008888932693522,0.698272623210298,0.6499999999999999,0.6622287465272854,3
2026-07-26,824810,Atlanta Braves @ Baltimore Orioles,Atlanta Braves,Baltimore Orioles,Drake Baldwin,686948,1,R,Shane Baz,R,0.277,0.369,0.484,.290,.384,.522,3.98,1.39,0.267,,,.249,,,0.26593333333333335,4.432666666666666,2,0,,,,23.7,3,0,0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.4152923538230885,0.6702175324675325,0.6100247372625229,0.6294997999698899,0.6499999999999999,0.6599867742911234,1
2026-07-26,824810,Atlanta Braves @ Baltimore Orioles,Atlanta Braves,Baltimore Orioles,Ozzie Albies,645277,2,R,Shane Baz,R,0.26,0.311,0.436,.242,.317,.407,3.98,1.39,0.267,,,.249,,,0.266,4.432666666666666,0,1,,,,20.8,3,0,0,0.0,0.0,0,0,0,0.0,0.0,0.75,0.38980509745127434,0.5468392857142856,0.6100247372625229,0.6296256830784319,0.6499999999999999,0.579161095069093,2
2026-07-26,824810,Atlanta Braves @ Baltimore Orioles,Atlanta Braves,Baltimore Orioles,Matt Olson,621566,3,R,Shane Baz,R,0.267,0.344,0.528,.265,.354,.566,3.98,1.39,0.267,,,.249,,,0.26813333333333333,4.432666666666666,1,0,,,,24.6,3,0,0,0.0,0.0,0,0,0,0.0,0.0,0.5,0.4002998500749625,0.6473668831168831,0.6100247372625229,0.6336539425517781,0.6499999999999999,0.5548972333407443,3
2026-07-26,823354,Chicago Cubs @ Pittsburgh Pirates,Pittsburgh Pirates,Chicago Cubs,Jake Mangum,663968,1,R,Jameson Taillon,R,0.303,0.351,0.371,.304,.352,.387,5.92,1.36,0.256,,,.253,,,0.3051333333333333,4.377333333333334,1,0,,,,21.3,18,0,0,0.0,0.0,0,1,0,-0.03,0.0,1.0,0.45427286356821583,0.6172288961038961,0.6594657461458826,0.7007678385787703,0.6499999999999999,0.6422621236565542,1
